País;Resultado;Pergunta;Fonte
Afeganistão;69;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
África do Sul;84;CC é um problema importante;OCDE
África do Sul;91;[país] deveria combater o CC;OCDE
África do Sul;34;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
África do Sul;58;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Alemanha;82;CC é um problema importante;OCDE
Alemanha;78;[país] deveria combater o CC;OCDE
Alemanha;21;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Alemanha;63;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Arábia Saudita;24;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Argélia;45;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Argentina;30;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Argentina;45;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Austrália;76;CC é um problema importante;OCDE
Austrália;75;[país] deveria combater o CC;OCDE
Austrália;24;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Austrália;47;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Bangladesh;39;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Barbados;47;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Bélgica;16;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Benim;66;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Brasil;88;CC é um problema importante;OCDE
Brasil;83;[país] deveria combater o CC;OCDE
Brasil;32;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
