origem;destino;actual_growth;area_wide;mix_effect;competitive;allocation
Americas;Argentina;582,331;1856,85098807155;109,130572654502;-1165,40589078617;-218,244669939874
Americas;Brazil;989,967;1358,86516637319;69,8237963690092;-416,022117739289;-22,6998450029123
Americas;Colombia;1353,264;557,386407767845;21,3549204817641;902,754505463688;-128,231833713298
Americas;Cuba;768,244;601,08874708586;27,363437561719;170,428033157986;-30,6362178055652
Americas;Dominican Republic;1511,892;1123,60907376205;47,853713222916;390,271201021763;-49,8419880067264
Americas;Jamaica;657,858;609,386546399069;34,9192457872151;14,9687734130266;-1,41656559931075
Americas;Peru;1464,446;871,329292697202;39,0400917661127;499,026571964481;55,0500435722043
Europe;Argentina;126,973;308,407296911882;-128,368763585488;-93,7201565658676;40,6546232394735
Europe;Brazil;-93,163;560,310920583143;-220,564268508783;-314,918707496379;-117,990944577982
Europe;Colombia;322,874;121,436203678281;-46,2010230659224;377,064893040464;-129,426073652823
Europe;Cuba;406,097;353,983716323634;-149,885368612681;141,951232414663;60,047419874384
Europe;Dominican Republic;135,918;388,90945911871;-166,230505601103;-65,5022061731542;-21,2587473444532
Europe;Jamaica;67,858;89,9189795435739;-36,1721233317132;25,187008948173;-11,0758651600337
Europe;Peru;226,265;190,181644069162;-72,9041675226962;133,309468407281;-24,3219449537471
Outros;Argentina;-13,187;85,0886195082749;35,197993892304;-336,626495994846;203,152882594268
Outros;Brazil;22,983;139,116864664751;56,827394149967;-232,135864740809;59,174605926091
Outros;Colombia;450,356;248,793200918551;123,810602076617;28,0875032727528;49,6646937320788
Outros;Cuba;384,9;176,436398193526;104,436278289697;84,9101391708938;19,1171843458824
Outros;Dominican Republic;491,795;242,004766322249;120,719356759069;91,0054217172189;38,0654552014629
Outros;Jamaica;3,452;4,4801940625786;1,99571739692254;-43,4954811176356;40,4715696581344
Outros;Peru;83,273;56,8115139449254;27,853099820567;-2,35291424399388;0,961300478501567
