ano0;ano1;origem;destino;actual_growth;area_wide;mix_effect;competitive;allocation;check_sum;year0;year1
5540,338;5461,488;Americas;Argentina;-78,8499999999995;344,657636267376;-89,174780106693;-286,386476117882;-47,9463800428008;-78,8499999999995;2010;2011
3196,3;3401,592;Americas;Brazil;205,292;198,837905341049;-51,446202317444;65,2556230493029;-7,35532607290772;205,292;2010;2011
1140,148;1192,916;Americas;Colombia;52,768;70,9272096169903;-18,3513076619307;0,165189983047708;0,0269080618927601;52,768;2010;2011
1288,612;1401,201;Americas;Cuba;112,589;80,1629730868002;-20,7409172044821;72,9051860004741;-19,7382418827922;112,589;2010;2011
2367,965;2559,18;Americas;Dominican Republic;191,215;147,308200269348;-38,1136959830511;99,710726386392;-17,690230672689;191,215;2010;2011
1639,875;1687,308;Americas;Jamaica;47,433;102,014613778792;-26,3946879283291;-23,0534814289388;-5,13344442152386;47,433;2010;2011
1746,962;1996,76;Americas;Peru;249,798;108,676364793796;-28,1183119522218;155,457848051543;13,7820991068832;249,798;2010;2011
998,243;969,495;Europe;Argentina;-28,748;62,0994734979084;-51,8522293799158;-60,8317477922806;21,836503674288;-28,7480000000001;2010;2011
1651,84;1662,829;Europe;Brazil;10,989;102,758941763463;-85,8023412925712;-4,270332207493;-1,6972682633991;10,989;2010;2011
230,299;263,61;Europe;Colombia;33,311;14,3266185158271;-11,9625347475166;43,2307268485891;-12,2838106168996;33,311;2010;2011
809,515;852,065;Europe;Cuba;42,5500000000001;50,3589359391043;-42,0490376255907;24,5241665420593;9,71593514442718;42,5500000000001;2010;2011
1142,666;1132,009;Europe;Dominican Republic;-10,6569999999999;71,0838513107139;-59,3540646281826;-18,5059950637499;-3,88079161878123;-10,6569999999999;2010;2011
272,139;253,749;Europe;Jamaica;-18,39;16,9294336331407;-14,1358505406208;-34,2573215979531;13,0737385054332;-18,39;2010;2011
447,314;475,252;Europe;Peru;27,938;27,826855673662;-23,2350521194215;27,4816048260386;-4,13540838027911;27,938;2010;2011
261,135;271,95;Outros;Argentina;10,815;16,2448882805853;82,6896920350356;-167,602247609303;79,482667293682;10,815;2010;2011
313,239;368,933;Outros;Brazil;55,694;19,4862142574617;99,1886818824077;-75,8019688479066;12,8210727080373;55,694;2010;2011
34,316;586,023;Outros;Colombia;551,707;2,13475629937222;10,8663314832339;1610,79350978765;-1072,08759757025;551,707;2010;2011
433,618;463,051;Outros;Cuba;29,433;26,9748443006523;137,307288876819;-57,5098912793604;-77,3392418981106;29,433;2010;2011
613,912;615,242;Outros;Dominican Republic;1,32999999999993;38,1907130568889;194,398277582908;-113,488032639474;-117,770958000324;1,32999999999991;2010;2011
9,664;10,695;Outros;Jamaica;1,031;0,601185594974156;3,06015349848387;-38,2047326716496;35,5743935781916;1,03100000000001;2010;2011
104,911;125,791;Outros;Peru;20,88;6,52638472209579;33,2205881290812;-30,2021055875219;11,3351327363449;20,88;2010;2011
5461,488;5318,153;Americas;Argentina;-143,335;177,348622696962;64,9209052883523;-325,29977390198;-60,3047540833338;-143,335;2011;2012
3401,592;3582,256;Americas;Brazil;180,664;110,458478747368;40,4348470712774;32,6860312572986;-2,9153570759438;180,664;2011;2012
1192,916;1282,719;Americas;Colombia;89,8030000000001;38,7370638904944;14,1802356158175;43,411860386852;-6,52615989316378;89,8030000000001;2011;2012
1401,201;1542,413;Americas;Cuba;141,212;45,5006158526038;16,6561269403035;105,341260528857;-26,2860033217647;141,212;2011;2012
2559,18;2818,384;Americas;Dominican Republic;259,204;83,103185108822;30,4210651741513;168,501429072225;-22,8216793551981;259,204;2011;2012
1687,308;1750,89;Americas;Jamaica;63,5820000000001;54,7912491734056;20,0570911920486;-8,95778999613783;-2,30855036931627;63,5820000000001;2011;2012
1996,76;2190,815;Americas;Peru;194,055;64,8399549456824;23,7355583027135;94,3270159377876;11,1524708138166;194,055;2011;2012
969,495;911,712;Europe;Argentina;-57,783;31,4820069112283;-44,412273551913;-67,5457320601923;22,692998700877;-57,783;2011;2012
1662,829;1685,728;Europe;Brazil;22,8990000000001;53,9963528127437;-76,1736949835264;32,0818033347836;12,9945388359993;22,8990000000001;2011;2012
263,61;272,996;Europe;Colombia;9,38599999999997;8,56009761975967;-12,0758945956604;21,7746157576354;-8,87281878173467;9,38599999999997;2011;2012
852,065;839,258;Europe;Cuba;-12,807;27,6687514827986;-39,0328406686066;-1,00192890858523;-0,440981905606742;-12,807;2011;2012
1132,009;1094,841;Europe;Dominican Republic;-37,1680000000001;36,7592562742177;-51,8569908779596;-18,2879431398322;-3,78232225642595;-37,1680000000001;2011;2012
253,749;223,268;Europe;Jamaica;-30,481;8,23988547823071;-11,6241651597217;-45,3969542282014;18,3002339096924;-30,481;2011;2012
475,252;506,398;Europe;Peru;31,146;15,4326600431927;-21,7711507847836;44,6296591010983;-7,14516835950734;31,146;2011;2012
271,95;267,278;Outros;Argentina;-4,67199999999997;8,83091896245834;5,18366381541843;-43,6715791724895;24,9849963946127;-4,67199999999997;2011;2012
368,933;408,859;Outros;Brazil;39,926;11,9802074851136;7,03226564594142;29,2039078232972;-8,29038095435218;39,926;2011;2012
586,023;624,723;Outros;Colombia;38,6999999999999;19,0296805410433;11,1702379853023;2,80914465251371;5,69093682114064;38,6999999999999;2011;2012
463,051;456,936;Outros;Cuba;-6,11500000000001;15,0364620573094;8,8262574495066;-16,674138672537;-13,3035808342791;-6,11500000000001;2011;2012
615,242;649,381;Outros;Dominican Republic;34,1390000000001;19,9784969453973;11,7271840159061;1,61496741504051;0,818351623656212;34,1390000000001;2011;2012
10,695;11,927;Outros;Jamaica;1,232;0,347294275798831;0,203858372884354;11,78112566674;-11,1002783154232;1,232;2011;2012
125,791;148,41;Outros;Peru;22,619;4,08475869537267;2,39771375254753;31,5980236855244;-15,4614961334446;22,619;2011;2012
5318,153;5386,621;Americas;Argentina;68,4679999999998;147,781007014051;85,9007698417014;-140,335369527653;-24,8784073280997;68,4679999999998;2012;2013
3582,256;3726,448;Americas;Brazil;144,192;99,5438452150823;57,86192089059;-14,5591548427128;1,3453887370405;144,192;2012;2013
1282,719;1388,675;Americas;Colombia;105,956;35,6442369251235;20,7189506564737;58,6124988875926;-9,01968646918984;105,956;2012;2013
1542,413;1590,686;Americas;Cuba;48,2729999999999;42,8606221693064;24,9136239807031;-24,9531996652829;5,4519535152734;48,2729999999999;2012;2013
2818,384;2972,635;Americas;Dominican Republic;154,251;78,3173454528834;45,5235784509272;34,2286361240974;-3,81856002790787;154,251;2012;2013
1750,89;1759,38;Americas;Jamaica;8,49000000000001;48,6537877663225;28,2810214200563;-53,9807322235576;-14,4640769628212;8,49000000000002;2012;2013
2190,815;2473,451;Americas;Peru;282,636;60,8784378489088;35,3868523678704;168,309488802757;18,0612209804635;282,636;2012;2013
911,712;865,883;Europe;Argentina;-45,829;25,3346824483602;-33,4371585412958;-55,9617778879617;18,2352539808973;-45,8289999999999;2012;2013
1685,728;1669,697;Europe;Brazil;-16,0310000000002;46,8430640095879;-61,8242980168095;-0,735854313557439;-0,313911679221099;-16,0310000000002;2012;2013
272,996;293,646;Europe;Colombia;20,65;7,58602164902134;-10,0121645137276;38,3645965057462;-15,28845364104;20,65;2012;2013
839,258;810,381;Europe;Cuba;-28,8770000000001;23,3213283605414;-30,7798984800582;-15,0791675896004;-6,33926229088287;-28,8770000000001;2012;2013
1094,841;1081,667;Europe;Dominican Republic;-13,174;30,4234770041912;-40,1534389088997;-2,98751310259203;-0,456524992699391;-13,174;2012;2013
223,268;236,641;Europe;Jamaica;13,373;6,20417838185797;-8,18838351716115;28,4356717471627;-13,0784666118595;13,373;2012;2013
506,398;527,103;Europe;Peru;20,7049999999999;14,0718039495857;-18,5722138251938;29,4821466516298;-4,27673677602184;20,7049999999999;2012;2013
267,278;257,93;Outros;Argentina;-9,34800000000001;7,42712968068077;-9,95394701994359;-16,0124114624645;9,19122880172728;-9,34800000000001;2012;2013
408,859;417,197;Outros;Brazil;8,33799999999997;11,3613870730605;-15,2266958920192;16,3624665761286;-4,1591577571699;8,33799999999997;2012;2013
624,723;605,668;Outros;Colombia;-19,0549999999999;17,3598228642235;-23,2658866204484;-4,43184655934705;-8,71708968442798;-19,0549999999999;2012;2013
456,936;451,505;Outros;Cuba;-5,43100000000004;12,6973522989978;-17,0171758824331;-0,666608364128754;-0,444568052436078;-5,43100000000004;2012;2013
649,381;635,468;Outros;Dominican Republic;-13,9130000000001;18,045020163164;-24,1841979877056;-5,2745551909421;-2,49926698451643;-13,9130000000001;2012;2013
11,927;12,388;Outros;Jamaica;0,460999999999999;0,331427860510328;-0,44418443009476;9,226396892753;-8,65264032316857;0,460999999999997;2012;2013
148,41;163,085;Outros;Peru;14,675;4,12402186453742;-5,52707397252983;29,7704554264072;-13,6924033184148;14,675;2012;2013
5386,621;6016,577;Americas;Argentina;629,956;445,424863605802;1,51663779388429;156,210582266616;26,8039163336978;629,956;2013;2014
3726,448;4040,566;Americas;Brazil;314,118;308,143563865754;1,04920540608751;5,42611285885302;-0,500882130694865;314,118;2013;2014
1388,675;1561,701;Americas;Colombia;173,026;114,830869383197;0,390990379390394;67,2579607196362;-9,45382048222372;173,026;2013;2014
1590,686;1680,782;Americas;Cuba;90,096;131,535352977248;0,447867875947207;-53,0475263241907;11,1603054709952;90,096;2013;2014
2972,635;3316,088;Americas;Dominican Republic;343,453;245,810042961039;0,836964506770241;107,855832038813;-11,0498395066215;343,453;2013;2014
1759,38;1804,675;Americas;Jamaica;45,2949999999998;145,484821844859;0,495364756830699;-81,1688740366355;-19,5163125650542;45,2949999999998;2013;2014
2473,451;2478,702;Americas;Peru;5,2510000000002;204,532038602796;0,696416040393576;-180,632577851857;-19,3448767913327;5,25100000000024;2013;2014
865,883;891,179;Europe;Argentina;25,2959999999999;71,6006968326865;3,90089571924314;-75,770884040248;25,5652914883183;25,2959999999999;2013;2014
1669,697;1891,174;Europe;Brazil;221,477;138,068848446552;7,52216394100948;53,0333824043987;22,8526052080395;221,477;2013;2014
293,646;351,517;Europe;Colombia;57,871;24,2818697469878;1,32290670260632;50,4635165380905;-18,1972929876847;57,871;2013;2014
810,381;867,013;Europe;Cuba;56,6320000000001;67,011183150575;3,65085326060908;-9,9130133878148;-4,11702302336919;56,6320000000001;2013;2014
1081,667;1138,328;Europe;Dominican Republic;56,6610000000001;89,4440830238283;4,87302576669893;-32,7712444572078;-4,88486433331936;56,6610000000001;2013;2014
236,641;262,099;Europe;Jamaica;25,458;19,5680715514495;1,06609306788263;8,21777365561129;-3,39393827494344;25,458;2013;2014
527,103;561,98;Europe;Peru;34,8770000000001;43,586653280639;2,37465550923187;-13,3536373693009;2,26932857943014;34,8770000000001;2013;2014
257,93;257,604;Outros;Argentina;-0,326000000000022;21,3284794066344;-3,057143394829;-43,688567928503;25,0912319166975;-0,326000000000018;2013;2014
417,197;498,112;Outros;Brazil;80,915;34,4984205908954;-4,94487284492875;66,6087034888062;-15,2472512347729;80,915;2013;2014
605,668;638,563;Outros;Colombia;32,895;50,0832685816208;-7,17874588322137;-3,51918146108688;-6,49034123731256;32,895;2013;2014
451,505;454,95;Outros;Cuba;3,44500000000005;37,3353820590566;-5,35151214857622;-16,7810762824081;-11,7577936280722;3,44500000000004;2013;2014
635,468;686,512;Outros;Dominican Republic;51,0440000000001;52,547459200462;-7,53195362627531;4,14071853975489;1,88777588605855;51,0440000000001;2013;2014
12,388;13,407;Outros;Jamaica;1,019;1,02437561698673;-0,146830118152761;2,13440447391243;-1,9929499727464;1,019;2013;2014
163,085;174,252;Outros;Peru;11,167;13,48565527093;-1,93298271060244;-0,696306793817174;0,310634233489618;11,167;2013;2014
6016,577;5655,594;Americas;Argentina;-360,983;272,088724399434;8,47041805523061;-539,707042109013;-101,835100345651;-360,983;2014;2015
4040,566;4208,508;Americas;Brazil;167,942;182,727229916898;5,68849749612628;-23,0144206724361;2,54069325941166;167,942;2014;2015
1561,701;1820,388;Americas;Colombia;258,687;70,6250801715527;2,19863559417119;214,527749493723;-28,6644652594474;258,687;2014;2015
1680,782;1959,97;Americas;Cuba;279,188;76,0103012682342;2,36628338666764;253,419377619918;-52,6079622748193;279,188;2014;2015
3316,088;3721,751;Americas;Dominican Republic;405,663;149,964033355888;4,66854353695358;274,907248692348;-23,8768255851895;405,663;2014;2015
1804,675;1827,557;Americas;Jamaica;22,8820000000001;81,6131362908757;2,54070573746888;-49,8893009673586;-11,3825410609859;22,8820000000001;2014;2015
2478,702;2679,869;Americas;Peru;201,167;112,094778367554;3,48963242294352;78,4110960761787;7,17149313332339;201,167;2014;2015
891,179;895,944;Europe;Argentina;4,76499999999999;40,3019453289741;-34,0823773351317;-2,35727358607767;0,902705592235269;4,76499999999998;2014;2015
1891,174;1667,405;Europe;Brazil;-223,769;85,5248958464879;-72,3263293618794;-162,390750332559;-74,5768161520492;-223,769;2014;2015
351,517;406,055;Europe;Colombia;54,538;15,8967153806418;-13,4434665019188;76,209752533776;-24,125001412499;54,538;2014;2015
867,013;1058,202;Europe;Cuba;191,189;39,2090820424514;-33,1581693694135;129,23838062904;55,8997066979216;191,189;2014;2015
1138,328;1100,872;Europe;Dominican Republic;-37,4559999999999;51,4788082107415;-43,5343790945992;-41,3272923565022;-4,07313675964006;-37,4559999999999;2014;2015
262,099;280,511;Europe;Jamaica;18,412;11,8529493724367;-10,0237517010171;26,5275155008343;-9,94471317225397;18,412;2014;2015
561,98;595,919;Europe;Peru;33,939;25,4145208044364;-21,4924436222098;34,6114873074478;-4,59456448967445;33,939;2014;2015
257,604;264,223;Outros;Argentina;6,61900000000003;11,6496711934696;18,789011921754;-60,9887576964538;37,1690745812302;6,61900000000002;2014;2015
498,112;429,925;Outros;Brazil;-68,187;22,5262069592146;36,3310830048009;-150,958481110726;23,9141911467102;-68,187;2014;2015
638,563;872,313;Outros;Colombia;233,75;28,8778473405519;46,5752388153562;58,229155497785;100,067758346307;233,75;2014;2015
454,95;506,607;Outros;Cuba;51,6569999999999;20,574284209364;33,1829512499883;-1,27600144051309;-0,824234018839274;51,6569999999999;2014;2015
686,512;777,236;Outros;Dominican Republic;90,7239999999999;31,0462534369466;50,0725227575162;6,62108665778105;2,98413714775608;90,7239999999999;2014;2015
13,407;14,974;Outros;Jamaica;1,567;0,606307129123953;0,977874112338924;-0,245387509140005;0,228206267677128;1,567;2014;2015
174,252;179,921;Outros;Peru;5,66899999999998;7,88022897472269;12,7095188948521;-25,3403889644183;10,4196410948435;5,66899999999998;2014;2015
5655,594;5446,777;Americas;Argentina;-208,817;284,481439965614;-80,4697075512923;-351,9127285658;-60,9160038485214;-208,817;2015;2016
4208,508;4487,818;Americas;Brazil;279,31;211,691719021345;-59,8800776695205;135,128880070986;-7,63052142281044;279,31;2015;2016
1820,388;2020,898;Americas;Colombia;200,51;91,5671456501517;-25,9010972127564;162,361785588025;-27,51783402542;200,51;2015;2016
1959,97;1998,73;Americas;Cuba;38,76;98,5882451762634;-27,8871171992379;-40,631387074574;8,69025909754847;38,76;2015;2016
3721,751;3902,461;Americas;Dominican Republic;180,71;187,207406273057;-52,9543341599008;49,4434989545389;-2,98657106769558;180,71;2015;2016
1827,557;1871,513;Americas;Jamaica;43,9559999999999;91,9277527664181;-26,0031001736188;-18,0517789609332;-3,91687363186621;43,9559999999999;2015;2016
2679,869;2934,478;Americas;Peru;254,609;134,799809187012;-38,130084073534;144,05975444591;13,8795204406119;254,609;2015;2016
895,944;989,475;Europe;Argentina;93,5310000000001;45,0667850713032;48,2105457720669;0,374727392821017;-0,12105823619109;93,5310000000001;2015;2016
1667,405;1641,457;Europe;Brazil;-25,9479999999999;83,8719638301237;89,7226892228457;-146,53849967224;-53,0041533807291;-25,9479999999999;2015;2016
406,055;439,924;Europe;Colombia;33,869;20,42492991987;21,849728513698;-12,4562852527484;4,05062681918038;33,869;2015;2016
1058,202;1413,975;Europe;Cuba;355,773;53,2285076924709;56,9416123743145;158,858719700206;86,7441602330089;355,773;2015;2016
1100,872;1221,093;Europe;Dominican Republic;120,221;55,3748468821887;59,2376755078296;5,53986963857593;0,0686079714057335;120,221;2015;2016
280,511;295,698;Europe;Jamaica;15,187;14,1099543577906;15,0942340202828;-20,6007906182428;6,58360224016937;15,187;2015;2016
595,919;628,461;Europe;Peru;32,542;29,9752590484516;32,0662677867639;-33,2184428334814;3,71891599826591;32,542;2015;2016
264,223;232,038;Outros;Argentina;-32,185;13,2906533800047;-1,03228825608342;-112,894888273519;68,4515231495977;-32,185;2015;2016
429,925;417,421;Outros;Brazil;-12,504;21,6256122835579;-1,67966652599004;-46,8692165149812;14,4192707574133;-12,504;2015;2016
872,313;908,767;Outros;Colombia;36,454;43,8781246215207;-3,40802453052497;-1,40489275553179;-2,61120733546395;36,454;2015;2016
506,607;596,464;Outros;Cuba;89,8570000000001;25,4827855140697;-1,97925410183691;45,4619380141197;20,8915305736476;89,8570000000001;2015;2016
777,236;835,793;Outros;Dominican Republic;58,557;39,0956664274546;-3,0365698482163;15,9620931608295;6,5358102599322;58,557;2015;2016
14,974;14,473;Outros;Jamaica;-0,501000000000001;0,753205601753786;-0,0585016608947487;-16,6942928218962;15,4985888810371;-0,500999999999999;2015;2016
179,921;181,522;Outros;Peru;1,601;9,0501873295808;-0,702930234395891;-12,7597394062648;6,01348231107985;1,601;2015;2016
5446,777;5512,533;Americas;Argentina;65,7560000000003;294,976912156462;28,197549794566;-219,897322214459;-37,5211397365685;65,7560000000003;2016;2017
4487,818;4767,608;Americas;Brazil;279,79;243,043307254949;23,2330920696679;13,7550883989235;-0,241487723540102;279,79;2016;2017
2020,898;2272,462;Americas;Colombia;251,564;109,444218447564;10,4620350685807;153,17374147314;-21,5159949892852;251,564;2016;2017
1998,73;2307,93;Americas;Cuba;309,2;108,243683123889;10,3472730205207;266,777440271924;-76,1683964163333;309,2;2016;2017
3902,461;3949,336;Americas;Dominican Republic;46,875;211,342578481002;20,2027434515589;-196,771671475837;12,101349543276;46,875;2016;2017
1871,513;2011,305;Americas;Jamaica;139,792;101,354089914215;9,68868029821629;23,3846340729563;5,36459571461295;139,792;2016;2017
2934,478;3186,149;Americas;Peru;251,671;158,920267753034;15,1915691657761;69,055286841592;8,50387623959735;251,671;2016;2017
989,475;963,604;Europe;Argentina;-25,871;53,586236439644;-18,2261557815287;-84,2354184442364;23,0043377861211;-25,871;2016;2017
1641,457;1480,63;Europe;Brazil;-160,827;88,8951240885406;-30,2356815388774;-178,695462194995;-40,7909803546685;-160,827;2016;2017
439,924;491,353;Europe;Colombia;51,429;23,8246256645938;-8,10341176485836;55,8309941505022;-20,1232080502376;51,429;2016;2017
1413,975;1566,345;Europe;Cuba;152,37;76,5755564008647;-26,0454570567089;58,9445640491085;42,8953366067357;152,37;2016;2017
1221,093;1388,572;Europe;Dominican Republic;167,479;66,1297942977783;-22,4925654935539;123,375875523046;0,465895672729602;167,479;2016;2017
295,698;326,798;Europe;Jamaica;31,1;16,0138891257787;-5,44676501405944;30,9247645601193;-10,3918886718385;31,1;2016;2017
628,461;649,715;Europe;Peru;21,254;34,0350789449911;-11,5762683126055;-1,46535527255146;0,260544640165804;21,254;2016;2017
232,038;235,192;Outros;Argentina;3,154;12,5663034750571;0,349778825840644;-27,5234549881512;17,7613726872535;3,154;2016;2017
417,421;340,532;Outros;Brazil;-76,889;22,6059480036106;0,629228950694402;-154,060732722368;53,9365557680628;-76,889;2016;2017
908,767;947,92;Outros;Colombia;39,153;49,2153953667813;1,36989395798414;-4,15874900529995;-7,27354031946552;39,153;2016;2017
596,464;779,284;Outros;Cuba;182,82;32,302242029092;0,899122029909817;98,6645041082709;50,9541318327273;182,82;2016;2017
835,793;849,634;Outros;Dominican Republic;13,841;45,2633985826821;1,25989145823455;-22,8621749618615;-9,8201150790552;13,841;2016;2017
14,473;14,812;Outros;Jamaica;0,339;0,783803127912244;0,0218168961393894;-6,90083710116745;6,43421707711582;0,339;2016;2017
181,522;196,475;Outros;Peru;14,953;9,83054732155644;0,273629974505234;9,81299251713622;-4,96416981319789;14,953;2016;2017
5512,533;5692,126;Americas;Argentina;179,593;244,32197740485;38,9929648532678;-88,544363028314;-15,1775792298043;179,593;2017;2018
4767,608;4786,172;Americas;Brazil;18,5639999999994;211,306021034465;33,7237293959344;-219,451871577687;-7,01387885271309;18,5639999999994;2017;2018
2272,462;2485,794;Americas;Colombia;213,332;100,718201490564;16,0742857950033;110,565182070865;-14,0256693564321;213,332;2017;2018
2307,93;2342,994;Americas;Cuba;35,0640000000003;102,290185167504;16,3251690962761;-118,126962391602;34,5756081278224;35,0640000000003;2017;2018
3949,336;4266,322;Americas;Dominican Republic;316,986;175,039238940821;27,935673100142;125,248956549039;-11,237868590002;316,986;2017;2018
2011,305;2129,788;Americas;Jamaica;118,483;89,1434146089035;14,2269887861355;12,3965359964987;2,71606060846227;118,483;2017;2018
3186,149;3537,976;Americas;Peru;351,827;141,213889147963;22,5372611781688;166,900230974797;21,1756186990718;351,827;2017;2018
963,604;994,889;Europe;Argentina;31,285;42,7080680905173;-48,2039790900094;51,3794858896062;-14,5985748901141;31,285;2017;2018
1480,63;1494,066;Europe;Brazil;13,4359999999999;65,6232714443512;-74,0680378662195;19,5288950039334;2,35187141793488;13,4359999999999;2017;2018
491,353;544,325;Europe;Colombia;52,972;21,7773456528615;-24,579775237352;84,5037194675879;-28,7292898830973;52,972;2017;2018
1566,345;1458,599;Europe;Cuba;-107,746;69,4222615444117;-78,3559030760984;-58,8798103078048;-39,9325481605085;-107,746;2017;2018
1388,572;1334,324;Europe;Dominican Republic;-54,2479999999998;61,5431520879798;-69,4628661285886;-41,4050512366292;-4,92323472276182;-54,2479999999998;2017;2018
326,798;329,438;Europe;Jamaica;2,63999999999999;14,4840735777818;-16,3479644736395;6,50387292707505;-1,99998203121741;2,63999999999999;2017;2018
649,715;672,21;Europe;Peru;22,495;28,7961366489039;-32,5017831748991;32,6139565618028;-6,41331003580769;22,495;2017;2018
235,192;254,813;Outros;Argentina;19,621;10,423987395595;12,1449704999586;-8,26481178516888;5,31685388961532;19,621;2017;2018
340,532;341,138;Outros;Brazil;0,605999999999938;15,0927806889552;17,5845738557939;-60,9662424489476;28,8948879041983;0,605999999999941;2017;2018
947,92;989,388;Outros;Colombia;41,4680000000001;42,0129346747866;48,9492008075135;-19,0407795972419;-30,4533558850582;41,4680000000001;2017;2018
779,284;910,317;Outros;Cuba;131,033;34,5387878566825;40,241084692888;33,0036402828372;23,2494871675922;131,033;2017;2018
849,634;968,242;Outros;Dominican Republic;118,608;37,6567829980143;43,873855682854;26,5289953262771;10,5483659928546;118,608;2017;2018
14,812;13,501;Outros;Jamaica;-1,311;0,65648534517991;0,76486999151921;-42,6437531052264;39,9113977685273;-1,311;2017;2018
196,475;209,244;Outros;Peru;12,769;8,70800419890783;10,1456813113514;-12,2691247628787;6,18443925261952;12,769;2017;2018
5692,126;6043,819;Americas;Argentina;351,693;-9,57255917162795;-38,3989654212076;344,080126294428;55,5843982984073;351,693;2018;2019
4786,172;4391,559;Americas;Brazil;-394,612999999999;-8,04899868266951;-32,2874182911538;-345,992783232514;-8,28379979366212;-394,612999999999;2018;2019
2485,794;2546,18;Americas;Colombia;60,386;-4,18040819080212;-16,7691154149162;92,843726843854;-11,5082032381357;60,386;2018;2019
2342,994;2169,445;Americas;Cuba;-173,549;-3,94025864918824;-15,8057895394615;-218,350969807063;64,5480179957126;-173,549;2018;2019
4266,322;4071,072;Americas;Dominican Republic;-195,25;-7,17475681146519;-28,7805208376865;-173,14272893346;13,8480065826121;-195,25;2018;2019
2129,788;2345,166;Americas;Jamaica;215,378;-3,58170596592963;-14,3675062299223;191,236079528194;42,0911326676579;215,378;2018;2019
3537,976;3461,206;Americas;Peru;-76,77;-5,94988315574876;-23,8671136382192;-41,4037232626844;-5,54927994334757;-76,77;2018;2019
994,889;1096,468;Europe;Argentina;101,579;-1,6731242108312;-2,11826077691977;140,396716170421;-35,0263311826702;101,579;2018;2019
1494,066;1569,666;Europe;Brazil;75,5999999999999;-2,51259989524432;-3,18107990532553;68,797778273857;12,4959015267127;75,5999999999999;2018;2019
544,325;586,484;Europe;Colombia;42,159;-0,915401955455024;-1,15894566870963;62,3739833398744;-18,1406357157098;42,159;2018;2019
1458,599;1258,162;Europe;Cuba;-200,437;-2,45295435047948;-3,10556559671923;-120,216511769886;-74,6619682829149;-200,437;2018;2019
1334,324;1267,927;Europe;Dominican Republic;-66,3970000000002;-2,24395866221572;-2,84096637203014;-57,6389070420124;-3,67316792374191;-66,3970000000002;2018;2019
329,438;321,607;Europe;Jamaica;-7,83099999999996;-0,554022301752064;-0,701420554279818;-9,42484459618542;2,84928745221734;-7,83099999999996;2018;2019
672,21;701,517;Europe;Peru;29,307;-1,1304686510383;-1,43123109900023;40,0096542606362;-8,14095451059762;29,307;2018;2019
